location,date,P0
7,2020-04-01,33.0
7,2020-04-02,1291.0
7,2020-04-03,20.0
7,2020-04-04,1548.0
7,2020-04-05,22.0
7,2020-04-06,32768.0
7,2020-04-07,32768.0
7,2020-04-08,128.0
7,2020-04-09,128.0
7,2020-04-10,32768.0
7,2020-04-11,128.0
7,2020-04-12,1.0
7,2020-04-13,16384.0
7,2020-04-14,1.0
7,2020-04-15,128.0
7,2020-04-16,128.0
7,2020-04-17,32768.0
7,2020-04-18,128.0
7,2020-04-19,128.0
7,2020-04-20,32768.0
7,2020-04-21,128.0
7,2020-04-22,32768.0
7,2020-04-23,1.0
7,2020-04-24,32768.0
7,2020-04-25,32768.0
7,2020-04-26,16384.0
7,2020-04-27,32768.0
7,2020-04-28,256.0
7,2020-04-29,128.0
7,2020-04-30,32768.0
74,2020-04-01,23.2
74,2020-04-02,14.75
74,2020-04-03,17.8
74,2020-04-04,22.4
74,2020-04-05,12.6
74,2020-04-06,19.8
74,2020-04-09,17.6
74,2020-04-10,11.0
74,2020-04-11,16.2
74,2020-04-12,6.8
74,2020-04-13,15.0
74,2020-04-14,8.25
74,2020-04-15,10.5
74,2020-04-16,15.6
74,2020-04-17,20.4
74,2020-04-18,8.25
74,2020-04-19,5.0
74,2020-04-20,25.0
74,2020-04-21,20.8
74,2020-04-22,20.6
74,2020-04-23,12.8
74,2020-04-24,16.6
74,2020-04-25,13.25
74,2020-04-26,10.0
74,2020-04-27,23.6
74,2020-04-28,21.8
74,2020-04-29,4.5
74,2020-04-30,4.75
18,2021-04-20,7.0
18,2021-04-28,5.0
27,2021-04-20,19.4
27,2021-04-28,20.4
33,2021-04-01,69.75
33,2021-04-02,111.6
33,2021-04-03,69.2
33,2021-04-04,82.2
33,2021-04-05,103.4
33,2021-04-06,99.25
33,2021-04-07,328.4
33,2021-04-08,97.0
33,2021-04-09,210.25
33,2021-04-10,71.75
33,2021-04-11,70.4
33,2021-04-12,46.75
33,2021-04-13,75.0
33,2021-04-14,63.4
33,2021-04-15,66.6
33,2021-04-16,65.25
33,2021-04-17,81.75
33,2021-04-18,54.8
33,2021-04-19,77.25
33,2021-04-20,66.25
33,2021-04-21,60.4
33,2021-04-22,47.75
33,2021-04-23,41.0
33,2021-04-24,86.4
33,2021-04-25,38.25
33,2021-04-26,40.0
33,2021-04-27,44.0
33,2021-04-28,113.5
33,2021-04-29,101.0
33,2021-04-30,35.75
35,2021-04-28,23.25
35,2021-04-29,3.4
37,2021-04-29,12.8
40,2021-04-20,19.0
67,2021-04-16,20.33
67,2021-04-17,20.0
67,2021-04-18,9.0
67,2021-04-19,19.0
67,2021-04-20,23.0
67,2021-04-28,17.0
71,2021-04-29,7.0
76,2021-04-01,32.0
76,2021-04-02,17.0
76,2021-04-03,30.0
76,2021-04-04,30.25
76,2021-04-05,19.0
76,2021-04-06,27.0
76,2021-04-07,22.0
76,2021-04-08,22.6
76,2021-04-09,26.33
76,2021-04-10,26.0
76,2021-04-11,27.75
76,2021-04-12,45.75
76,2021-04-13,24.0
76,2021-04-14,32.0
76,2021-04-15,27.67
76,2021-04-16,28.0
76,2021-04-17,26.8
76,2021-04-18,23.2
76,2021-04-19,132.0
76,2021-04-20,20.0
76,2021-04-21,26.5
76,2021-04-22,28.0
76,2021-04-23,29.5
76,2021-04-24,20.4
76,2021-04-25,20.0
76,2021-04-26,31.8
76,2021-04-27,33.0
76,2021-04-28,19.0
76,2021-04-29,24.0
76,2021-04-30,23.0
77,2021-04-01,33.0
77,2021-04-02,29.25
77,2021-04-03,35.0
77,2021-04-04,27.0
77,2021-04-05,29.0
77,2021-04-06,46.0
77,2021-04-07,33.0
77,2021-04-08,29.4
77,2021-04-09,36.25
77,2021-04-10,34.25
77,2021-04-11,25.0
77,2021-04-12,45.75
77,2021-04-13,35.5
77,2021-04-14,90.2
77,2021-04-15,32.25
77,2021-04-16,77.4
77,2021-04-17,44.8
77,2021-04-18,22.8
77,2021-04-19,53.0
77,2021-04-20,33.6
77,2021-04-21,38.25
77,2021-04-22,39.8
77,2021-04-23,68.0
77,2021-04-24,31.0
77,2021-04-25,48.5
77,2021-04-26,74.25
77,2021-04-27,35.6
77,2021-04-28,53.5
77,2021-04-29,53.0
77,2021-04-30,103.6
78,2021-04-16,20.0
78,2021-04-17,18.0
78,2021-04-18,9.0
78,2021-04-19,17.2
78,2021-04-20,20.0
3505,2021-04-01,35.0
3505,2021-04-02,21.0
3505,2021-04-03,22.6
3505,2021-04-04,28.5
3505,2021-04-05,36.6
3505,2021-04-06,77.4
3505,2021-04-07,23.75
3505,2021-04-08,29.8
3505,2021-04-09,27.8
3505,2021-04-10,33.0
3505,2021-04-11,26.5
3505,2021-04-12,19.6
3505,2021-04-13,120.75
3505,2021-04-14,37.75
3505,2021-04-15,34.75
3505,2021-04-16,27.0
3505,2021-04-17,55.0
3505,2021-04-18,41.5
3505,2021-04-19,36.4
3505,2021-04-20,23.5
3505,2021-04-21,58.75
3505,2021-04-22,28.0
3505,2021-04-23,58.0
3505,2021-04-24,83.6
3505,2021-04-25,50.4
3505,2021-04-26,46.5
3505,2021-04-27,31.0
3505,2021-04-28,34.0
3505,2021-04-29,34.4
3505,2021-04-30,69.0
3522,2021-04-28,13.0
3522,2021-04-29,98.0
3522,2021-04-30,148.0
18,2022-04-01,21.5
18,2022-04-21,20.0
18,2022-04-22,32.4
18,2022-04-23,29.5
18,2022-04-24,21.5
18,2022-04-25,30.5
18,2022-04-26,33.4
18,2022-04-27,24.2
18,2022-04-28,28.67
18,2022-04-29,28.75
18,2022-04-30,22.0
33,2022-04-01,93.5
33,2022-04-02,78.5
33,2022-04-03,83.5
33,2022-04-04,77.4
35,2022-04-01,139.0
35,2022-04-02,50.25
35,2022-04-03,38.0
35,2022-04-04,61.0
35,2022-04-05,39.25
35,2022-04-06,30.6
35,2022-04-07,35.6
35,2022-04-08,31.25
35,2022-04-09,30.0
35,2022-04-10,21.4
35,2022-04-11,58.25
35,2022-04-12,32.0
35,2022-04-13,50.4
35,2022-04-14,31.0
35,2022-04-15,33.0
35,2022-04-16,27.0
35,2022-04-17,30.0
35,2022-04-18,50.75
35,2022-04-19,52.5
35,2022-04-20,29.0
35,2022-04-21,33.0
35,2022-04-22,75.75
35,2022-04-23,44.0
35,2022-04-24,28.0
35,2022-04-25,84.4
35,2022-04-26,24.4
35,2022-04-27,22.2
35,2022-04-28,33.0
35,2022-04-29,44.0
35,2022-04-30,58.2
76,2022-04-01,20.0
76,2022-04-02,20.0
76,2022-04-03,20.0
76,2022-04-04,21.2
76,2022-04-05,24.75
76,2022-04-06,22.25
76,2022-04-07,21.25
76,2022-04-08,15.2
76,2022-04-09,21.0
76,2022-04-10,16.0
76,2022-04-11,32.5
76,2022-04-12,24.0
76,2022-04-13,21.8
76,2022-04-14,18.0
76,2022-04-15,22.75
76,2022-04-16,16.0
76,2022-04-17,7.0
76,2022-04-18,22.5
76,2022-04-19,23.0
76,2022-04-20,24.25
76,2022-04-21,22.4
76,2022-04-22,17.6
76,2022-04-23,16.0
76,2022-04-24,14.0
76,2022-04-25,23.0
76,2022-04-26,21.0
76,2022-04-27,21.5
76,2022-04-28,26.0
76,2022-04-29,18.0
76,2022-04-30,20.0
33,2023-04-01,84.0
33,2023-04-02,111.0
33,2023-04-03,99.25
33,2023-04-04,117.6
33,2023-04-05,87.6
33,2023-04-06,94.0
33,2023-04-07,92.2
33,2023-04-08,86.0
33,2023-04-09,78.0
33,2023-04-10,78.5
33,2023-04-11,87.2
33,2023-04-12,90.75
33,2023-04-13,84.5
33,2023-04-14,75.0
33,2023-04-15,83.6
33,2023-04-16,86.6
33,2023-04-17,108.0
33,2023-04-18,91.2
33,2023-04-29,80.0
33,2023-04-30,196.0
3573,2023-04-01,33.0
3573,2023-04-02,35.0
3573,2023-04-03,40.6
3573,2023-04-04,31.0
3573,2023-04-05,35.0
3573,2023-04-06,47.5
3573,2023-04-07,47.6
3573,2023-04-08,11.0
3573,2023-04-09,32.0
3573,2023-04-10,34.8
3573,2023-04-11,25.0
3573,2023-04-12,50.5
3573,2023-04-13,50.2
3573,2023-04-14,82.25
3573,2023-04-15,37.4
3573,2023-04-16,31.0
3573,2023-04-17,48.8
3573,2023-04-18,45.8
3573,2023-04-19,77.5
3573,2023-04-20,68.75
3573,2023-04-22,17.0
3573,2023-04-23,23.2
3573,2023-04-24,36.25
3573,2023-04-25,89.8
3573,2023-04-26,88.8
3573,2023-04-27,61.0
3573,2023-04-28,66.8
3573,2023-04-29,42.5
3573,2023-04-30,72.75
3576,2023-04-01,53.5
3576,2023-04-02,105.75
3576,2023-04-03,39.0
3576,2023-04-04,40.8
3576,2023-04-05,36.0
3576,2023-04-06,45.4
3576,2023-04-07,96.75
3576,2023-04-08,51.2
3576,2023-04-09,108.0
3576,2023-04-10,36.75
3576,2023-04-11,44.4
3576,2023-04-12,97.0
3576,2023-04-13,37.0
3576,2023-04-14,55.6
3576,2023-04-15,34.0
3576,2023-04-16,38.75
3576,2023-04-17,30.0
3576,2023-04-18,34.0
3576,2023-04-19,63.0
3576,2023-04-20,49.0
3576,2023-04-21,67.25
3576,2023-04-22,191.0
3576,2023-04-23,43.0
3576,2023-04-24,47.5
3576,2023-04-25,61.25
3576,2023-04-26,45.5
3576,2023-04-27,46.75
3576,2023-04-28,37.4
3576,2023-04-29,58.75
3576,2023-04-30,41.0
3579,2023-04-26,27.0
3596,2023-04-02,29.25
3596,2023-04-03,59.0
3596,2023-04-04,22.5
3596,2023-04-05,22.4
3596,2023-04-08,53.0
3596,2023-04-09,38.5
3596,2023-04-11,37.0
3596,2023-04-12,22.0
3596,2023-04-13,30.0
3596,2023-04-14,45.25
3596,2023-04-15,23.0
3596,2023-04-16,28.0
3596,2023-04-17,23.2
3596,2023-04-18,39.5
3596,2023-04-19,28.0
3596,2023-04-20,43.0
3596,2023-04-22,28.0
3596,2023-04-23,30.25
3596,2023-04-24,32.75
3596,2023-04-25,46.2
3596,2023-04-26,34.67
3596,2023-04-27,32.6
3596,2023-04-28,41.2
3596,2023-04-29,4.6
3596,2023-04-30,12.2
18,2021-08-01,26.0
18,2021-08-02,32.4
18,2021-08-03,34.0
18,2021-08-04,38.0
18,2021-08-05,39.4
18,2021-08-06,152.0
18,2021-08-07,30.0
18,2021-08-08,32.4
18,2021-08-09,61.0
18,2021-08-10,45.0
18,2021-08-11,35.0
18,2021-08-12,154.6
18,2021-08-13,42.0
18,2021-08-14,44.2
18,2021-08-15,29.2
18,2021-08-16,42.6
18,2021-08-17,29.0
18,2021-08-18,57.0
18,2021-08-19,35.0
18,2021-08-20,31.0
18,2021-08-21,26.6
18,2021-08-22,24.0
18,2021-08-23,24.0
18,2021-08-24,57.0
18,2021-08-25,29.4
18,2021-08-26,79.0
18,2021-08-27,46.75
18,2021-08-28,49.4
18,2021-08-29,52.0
18,2021-08-30,87.0
18,2021-08-31,35.6
33,2021-08-06,40.0
33,2021-08-07,122.5
33,2021-08-08,37.5
33,2021-08-09,98.0
33,2021-08-10,87.5
33,2021-08-11,66.2
33,2021-08-12,65.2
33,2021-08-13,235.0
33,2021-08-14,65.75
33,2021-08-15,47.75
33,2021-08-16,92.75
33,2021-08-17,53.75
33,2021-08-18,73.8
33,2021-08-19,44.75
33,2021-08-20,41.5
33,2021-08-21,33.4
33,2021-08-22,24.25
33,2021-08-23,103.75
33,2021-08-24,44.6
33,2021-08-25,107.25
33,2021-08-26,42.5
33,2021-08-27,41.25
33,2021-08-28,42.0
33,2021-08-29,38.0
33,2021-08-30,54.8
33,2021-08-31,334.0
35,2021-08-01,67.0
35,2021-08-02,34.0
35,2021-08-03,94.25
35,2021-08-04,34.67
35,2021-08-05,45.0
35,2021-08-06,38.2
35,2021-08-07,35.25
35,2021-08-08,49.4
35,2021-08-09,121.75
35,2021-08-10,95.8
35,2021-08-11,47.67
35,2021-08-12,152.4
35,2021-08-13,102.25
35,2021-08-14,141.6
35,2021-08-15,61.4
35,2021-08-16,54.5
35,2021-08-17,28.0
35,2021-08-18,111.8
35,2021-08-19,61.75
35,2021-08-20,45.25
35,2021-08-21,34.6
35,2021-08-22,32.5
35,2021-08-23,109.5
35,2021-08-24,99.0
35,2021-08-25,31.0
35,2021-08-26,150.5
35,2021-08-27,107.5
35,2021-08-28,112.4
35,2021-08-29,38.2
35,2021-08-30,148.75
35,2021-08-31,46.8
46,2021-08-01,34.0
46,2021-08-02,153.5
46,2021-08-03,115.0
46,2021-08-04,255.6
46,2021-08-05,73.25
46,2021-08-06,62.25
46,2021-08-07,156.0
46,2021-08-08,48.25
46,2021-08-09,46.0
46,2021-08-10,61.25
46,2021-08-11,59.0
46,2021-08-12,82.0
46,2021-08-13,137.2
46,2021-08-14,150.8
46,2021-08-15,29.0
46,2021-08-16,124.4
46,2021-08-17,57.0
46,2021-08-18,146.0
46,2021-08-19,58.25
46,2021-08-20,57.0
46,2021-08-21,31.0
46,2021-08-22,56.4
46,2021-08-23,29.0
46,2021-08-24,33.2
46,2021-08-25,50.5
46,2021-08-26,37.75
46,2021-08-27,38.8
46,2021-08-28,51.75
46,2021-08-29,40.25
46,2021-08-30,141.4
46,2021-08-31,62.5
67,2021-08-01,28.0
67,2021-08-02,20.0
67,2021-08-03,23.0
67,2021-08-04,26.0
67,2021-08-05,28.2
67,2021-08-06,28.0
67,2021-08-07,19.4
67,2021-08-08,18.4
67,2021-08-09,25.0
67,2021-08-10,27.6
67,2021-08-11,23.6
67,2021-08-12,27.75
67,2021-08-13,27.75
67,2021-08-14,23.0
67,2021-08-15,13.2
67,2021-08-16,35.25
67,2021-08-17,18.25
67,2021-08-18,24.0
67,2021-08-19,23.0
67,2021-08-20,25.0
67,2021-08-21,18.0
67,2021-08-22,8.0
67,2021-08-23,9.6
67,2021-08-24,19.0
67,2021-08-25,12.0
76,2021-08-01,30.4
76,2021-08-02,35.0
76,2021-08-03,55.0
76,2021-08-04,28.75
76,2021-08-05,31.0
76,2021-08-06,47.0
76,2021-08-07,26.0
76,2021-08-08,27.6
76,2021-08-09,68.5
76,2021-08-10,72.5
76,2021-08-11,60.0
76,2021-08-12,115.0
76,2021-08-13,64.75
76,2021-08-14,37.6
76,2021-08-15,34.5
76,2021-08-16,31.0
76,2021-08-17,33.0
76,2021-08-18,112.25
76,2021-08-19,33.0
76,2021-08-20,44.0
76,2021-08-21,38.0
76,2021-08-22,13.2
76,2021-08-23,50.25
76,2021-08-24,37.0
76,2021-08-25,29.0
76,2021-08-26,42.0
76,2021-08-27,55.0
76,2021-08-28,55.2
76,2021-08-29,90.6
76,2021-08-30,67.0
76,2021-08-31,35.0
77,2021-08-01,28.33
77,2021-08-02,31.0
77,2021-08-03,35.75
77,2021-08-04,35.0
77,2021-08-05,50.5
77,2021-08-06,51.0
77,2021-08-07,56.0
77,2021-08-08,32.33
77,2021-08-09,43.0
77,2021-08-10,110.0
77,2021-08-11,55.33
77,2021-08-12,56.8
77,2021-08-13,65.0
77,2021-08-14,42.4
77,2021-08-15,25.4
77,2021-08-16,37.25
77,2021-08-17,65.67
77,2021-08-18,51.0
77,2021-08-19,76.0
77,2021-08-20,47.0
77,2021-08-21,61.0
77,2021-08-22,26.25
77,2021-08-23,41.8
77,2021-08-24,49.6
77,2021-08-25,81.0
77,2021-08-26,77.5
77,2021-08-27,73.5
77,2021-08-28,60.5
77,2021-08-29,49.5
77,2021-08-30,97.0
77,2021-08-31,58.0
3505,2021-08-01,43.8
3505,2021-08-02,173.25
3505,2021-08-03,53.0
3505,2021-08-04,51.5
3505,2021-08-05,45.8
3505,2021-08-06,31.0
3505,2021-08-07,44.75
3505,2021-08-08,40.75
3505,2021-08-09,33.8
3505,2021-08-10,47.75
3505,2021-08-11,66.0
3505,2021-08-12,41.0
3505,2021-08-13,67.0
3505,2021-08-14,42.0
3505,2021-08-15,173.8
3505,2021-08-16,106.25
3505,2021-08-17,54.5
3505,2021-08-18,115.2
3505,2021-08-19,28.0
3505,2021-08-20,54.5
3505,2021-08-21,20.8
3505,2021-08-22,24.0
3505,2021-08-23,30.0
3505,2021-08-24,39.75
3505,2021-08-25,33.6
3505,2021-08-26,240.25
3505,2021-08-27,102.5
3505,2021-08-28,161.0
