location,date,humidity
27,2020-04-02,99.9
27,2020-04-03,99.9
27,2020-04-05,67.7
27,2020-04-06,70.9
27,2020-04-08,99.9
27,2020-04-09,99.9
27,2020-04-11,99.9
27,2020-04-12,99.9
27,2020-04-13,99.9
27,2020-04-14,99.9
27,2020-04-15,99.9
27,2020-04-16,99.9
27,2020-04-17,99.9
27,2020-04-18,99.9
27,2020-04-19,99.9
27,2020-04-20,99.9
27,2020-04-21,99.9
27,2020-04-22,99.9
27,2020-04-23,99.9
27,2020-04-24,99.9
27,2020-04-25,99.9
27,2020-04-26,99.9
27,2020-04-27,99.9
27,2020-04-28,99.9
27,2020-04-29,99.9
27,2020-04-30,99.9
35,2020-04-01,99.7
35,2020-04-02,96.4
35,2020-04-03,97.5
35,2020-04-04,96.6
35,2020-04-05,97.6
35,2020-04-06,98.9
35,2020-04-07,97.3
35,2020-04-08,98.6
35,2020-04-09,96.4
35,2020-04-10,96.3
35,2020-04-11,92.3
35,2020-04-12,95.3
35,2020-04-14,94.8
35,2020-04-15,97.9
35,2020-04-16,97.2
35,2020-04-17,99.6
35,2020-04-18,99.2
35,2020-04-19,99.9
35,2020-04-20,98.7
35,2020-04-21,98.5
35,2020-04-22,99.9
35,2020-04-23,99.9
35,2020-04-24,99.9
35,2020-04-25,99.9
35,2020-04-26,99.9
35,2020-04-27,99.9
35,2020-04-28,99.9
35,2020-04-29,99.9
35,2020-04-30,99.9
37,2020-04-01,56.19964599609375
37,2020-04-02,54.19921875
37,2020-04-03,55.5999755859375
37,2020-04-04,55.29937744140625
37,2020-04-05,55.19866943359375
37,2020-04-06,55.8990478515625
37,2020-04-07,57.1990966796875
37,2020-04-08,56.89849853515625
37,2020-04-09,55.499267578125
37,2020-04-10,51.79901123046875
37,2020-04-11,48.79913330078125
37,2020-04-12,52.099609375
37,2020-04-13,55.0994873046875
37,2020-04-14,50.19989013671875
37,2020-04-15,48.29864501953125
37,2020-04-16,49.0997314453125
37,2020-04-17,53.09906005859375
37,2020-04-18,53.69873046875
37,2020-04-19,51.59912109375
37,2020-04-20,53.59954833984375
37,2020-04-21,55.69915771484375
37,2020-04-22,57.598876953125
37,2020-04-23,56.59942626953125
37,2020-04-24,55.5999755859375
37,2020-04-25,56.49871826171875
37,2020-04-26,56.298828125
37,2020-04-27,55.5999755859375
37,2020-04-28,54.998779296875
37,2020-04-29,53.89862060546875
37,2020-04-30,53.59954833984375
59,2020-04-18,99.9
59,2020-04-19,99.9
59,2020-04-20,99.9
59,2020-04-21,99.9
59,2020-04-22,99.9
59,2020-04-23,99.9
67,2020-04-01,99.9
67,2020-04-02,98.8
67,2020-04-03,99.9
67,2020-04-04,99.9
67,2020-04-05,98.7
67,2020-04-06,99.9
67,2020-04-07,99.9
67,2020-04-08,99.9
67,2020-04-09,99.9
67,2020-04-10,97.3
67,2020-04-11,98.1
67,2020-04-12,96.3
67,2020-04-13,99.9
67,2020-04-14,99.9
67,2020-04-15,99.9
67,2020-04-16,99.9
67,2020-04-17,97.7
67,2020-04-18,99.9
67,2020-04-19,99.9
67,2020-04-20,99.9
67,2020-04-21,99.9
67,2020-04-22,99.9
67,2020-04-23,99.9
67,2020-04-24,99.9
67,2020-04-25,99.9
67,2020-04-26,99.9
67,2020-04-27,99.0
67,2020-04-28,99.9
67,2020-04-29,99.9
67,2020-04-30,99.2
70,2020-04-01,96.3
70,2020-04-02,95.0
70,2020-04-03,95.2
70,2020-04-04,93.8
70,2020-04-05,92.8
70,2020-04-06,92.7
70,2020-04-07,99.9
70,2020-04-08,97.7
70,2020-04-09,93.6
70,2020-04-10,93.6
70,2020-04-11,92.5
70,2020-04-12,94.8
70,2020-04-13,95.9
70,2020-04-14,96.2
70,2020-04-15,96.3
70,2020-04-16,95.4
70,2020-04-17,97.4
70,2020-04-18,99.1
70,2020-04-19,97.9
70,2020-04-20,99.9
70,2020-04-21,99.9
70,2020-04-22,99.9
70,2020-04-23,99.9
70,2020-04-24,99.9
70,2020-04-25,99.9
70,2020-04-26,99.9
70,2020-04-27,99.9
70,2020-04-28,99.9
70,2020-04-29,99.9
70,2020-04-30,99.9
72,2020-04-01,99.9
72,2020-04-02,99.9
72,2020-04-03,99.9
72,2020-04-04,99.9
72,2020-04-05,99.9
72,2020-04-06,99.9
72,2020-04-07,99.9
72,2020-04-08,99.9
72,2020-04-09,99.9
72,2020-04-10,99.9
72,2020-04-11,99.9
72,2020-04-12,99.9
72,2020-04-13,99.9
72,2020-04-14,99.9
72,2020-04-15,99.9
72,2020-04-16,99.9
72,2020-04-17,99.9
72,2020-04-18,99.9
72,2020-04-19,99.9
72,2020-04-20,99.9
72,2020-04-21,99.9
72,2020-04-22,99.9
72,2020-04-23,99.9
72,2020-04-24,99.9
72,2020-04-25,99.9
72,2020-04-26,99.9
72,2020-04-27,99.9
72,2020-04-28,99.9
72,2020-04-29,99.9
72,2020-04-30,99.9
74,2020-04-01,75.6
74,2020-04-02,69.4
74,2020-04-03,70.3
74,2020-04-04,68.1
74,2020-04-05,68.0
74,2020-04-06,70.6
74,2020-04-09,65.4
74,2020-04-10,67.2
74,2020-04-11,65.4
74,2020-04-12,62.5
74,2020-04-13,65.9
74,2020-04-14,65.5
74,2020-04-15,65.4
74,2020-04-16,65.9
74,2020-04-17,70.4
74,2020-04-18,72.6
74,2020-04-19,68.8
74,2020-04-20,70.7
74,2020-04-21,70.1
74,2020-04-22,70.9
74,2020-04-23,71.0
74,2020-04-24,70.1
74,2020-04-25,71.0
74,2020-04-26,72.0
74,2020-04-27,72.9
74,2020-04-28,70.6
74,2020-04-29,69.2
74,2020-04-30,70.0
18,2021-04-16,80.9
18,2021-04-17,83.6
18,2021-04-18,80.7
18,2021-04-19,80.4
18,2021-04-20,83.2
18,2021-04-28,67.1
27,2021-04-20,99.9
27,2021-04-28,99.9
33,2021-04-01,95.9
33,2021-04-02,95.9
33,2021-04-03,91.1
33,2021-04-04,94.5
33,2021-04-05,97.6
33,2021-04-06,97.7
33,2021-04-07,98.1
33,2021-04-08,98.8
33,2021-04-09,97.9
33,2021-04-10,97.9
33,2021-04-11,97.7
33,2021-04-12,97.7
33,2021-04-13,96.6
33,2021-04-14,96.1
33,2021-04-15,97.4
33,2021-04-16,98.1
33,2021-04-17,96.4
33,2021-04-18,96.5
33,2021-04-19,97.4
33,2021-04-20,98.3
33,2021-04-21,98.6
33,2021-04-22,99.3
33,2021-04-23,99.9
33,2021-04-24,99.9
33,2021-04-25,99.9
33,2021-04-26,99.2
33,2021-04-27,98.1
33,2021-04-28,99.1
33,2021-04-29,98.1
33,2021-04-30,96.7
35,2021-04-28,74.8
35,2021-04-29,68.7
37,2021-04-29,55.6
40,2021-04-20,94.8
67,2021-04-16,70.6
67,2021-04-17,73.0
67,2021-04-18,70.9
67,2021-04-19,71.7
67,2021-04-20,73.8
67,2021-04-28,49.2
71,2021-04-29,72.8
77,2021-04-01,99.9
77,2021-04-02,99.9
77,2021-04-03,99.9
77,2021-04-04,99.9
77,2021-04-06,99.9
77,2021-04-07,99.9
77,2021-04-08,99.9
77,2021-04-09,99.9
77,2021-04-10,99.9
77,2021-04-12,99.9
77,2021-04-13,99.9
77,2021-04-14,99.9
77,2021-04-15,99.9
77,2021-04-23,99.9
77,2021-04-24,99.9
77,2021-04-25,99.9
78,2021-04-16,93.3
78,2021-04-17,93.3
78,2021-04-18,88.2
78,2021-04-19,85.9
78,2021-04-20,75.4
3505,2021-04-01,99.9
3505,2021-04-02,91.9
3505,2021-04-03,89.8
3505,2021-04-04,88.5
3505,2021-04-05,94.0
3505,2021-04-06,95.7
3505,2021-04-07,95.5
3505,2021-04-08,94.6
3505,2021-04-09,95.9
3505,2021-04-10,96.0
3505,2021-04-11,92.5
3505,2021-04-12,93.6
3505,2021-04-13,90.6
3505,2021-04-14,91.1
3505,2021-04-15,92.6
3505,2021-04-16,85.9
3505,2021-04-17,91.0
3505,2021-04-18,92.1
3505,2021-04-19,92.4
