location,date,temperature
27,2020-04-02,33.5
27,2020-04-03,32.8
27,2020-04-05,34.3
27,2020-04-06,27.8
27,2020-04-08,33.3
27,2020-04-09,34.7
27,2020-04-11,23.3
27,2020-04-12,30.3
27,2020-04-13,31.7
27,2020-04-14,30.9
27,2020-04-15,31.2
27,2020-04-16,30.7
27,2020-04-17,28.5
27,2020-04-18,29.0
27,2020-04-19,27.1
27,2020-04-20,28.1
27,2020-04-21,27.6
27,2020-04-22,27.8
27,2020-04-23,23.3
27,2020-04-24,27.3
27,2020-04-25,25.0
27,2020-04-26,26.3
27,2020-04-27,25.7
27,2020-04-28,27.4
27,2020-04-29,28.2
27,2020-04-30,27.5
35,2020-04-01,26.3
35,2020-04-02,26.7
35,2020-04-03,26.6
35,2020-04-04,26.0
35,2020-04-05,26.7
35,2020-04-06,21.6
35,2020-04-07,19.8
35,2020-04-08,25.9
35,2020-04-09,19.9
35,2020-04-10,22.4
35,2020-04-11,24.8
35,2020-04-12,24.6
35,2020-04-14,26.1
35,2020-04-15,17.8
35,2020-04-16,17.4
35,2020-04-17,17.7
35,2020-04-18,21.2
35,2020-04-19,23.3
35,2020-04-20,18.4
35,2020-04-21,21.4
35,2020-04-22,22.6
35,2020-04-23,20.0
35,2020-04-24,25.1
35,2020-04-25,22.1
35,2020-04-26,24.0
35,2020-04-27,22.4
35,2020-04-28,23.6
35,2020-04-29,24.3
35,2020-04-30,22.7
37,2020-04-01,32.1990966796875
37,2020-04-02,33.89892578125
37,2020-04-03,31.298828125
37,2020-04-04,29.69970703125
37,2020-04-05,31.6986083984375
37,2020-04-06,30.0994873046875
37,2020-04-07,29.0985107421875
37,2020-04-08,32.2998046875
37,2020-04-09,31.49871826171875
37,2020-04-10,31.09893798828125
37,2020-04-11,36.199951171875
37,2020-04-12,35.99853515625
37,2020-04-13,31.3995361328125
37,2020-04-14,31.298828125
37,2020-04-15,35.699462890625
37,2020-04-16,34.49859619140625
37,2020-04-17,36.5997314453125
37,2020-04-18,30.999755859375
37,2020-04-19,29.0985107421875
37,2020-04-20,30.3985595703125
37,2020-04-21,28.89862060546875
37,2020-04-22,27.9998779296875
37,2020-04-23,27.19879150390625
37,2020-04-24,31.19964599609375
37,2020-04-25,28.09906005859375
37,2020-04-26,32.49969482421875
37,2020-04-27,31.59942626953125
37,2020-04-28,33.69903564453125
37,2020-04-29,30.19866943359375
37,2020-04-30,31.59942626953125
59,2020-04-18,32.7
59,2020-04-19,26.0
59,2020-04-20,31.4
59,2020-04-21,28.2
59,2020-04-22,18.4
59,2020-04-23,17.5
67,2020-04-01,28.9
67,2020-04-02,28.9
67,2020-04-03,28.6
67,2020-04-04,28.7
67,2020-04-05,28.9
67,2020-04-06,29.1
67,2020-04-07,28.6
67,2020-04-08,29.0
67,2020-04-09,28.9
67,2020-04-10,30.2
67,2020-04-11,31.3
67,2020-04-12,32.1
67,2020-04-13,31.1
67,2020-04-14,31.6
67,2020-04-15,33.0
67,2020-04-16,32.0
67,2020-04-17,30.9
67,2020-04-18,31.4
67,2020-04-19,26.0
67,2020-04-20,31.2
67,2020-04-21,28.4
67,2020-04-22,27.6
67,2020-04-23,24.4
67,2020-04-24,30.8
67,2020-04-25,24.9
67,2020-04-26,32.2
67,2020-04-27,28.5
67,2020-04-28,29.0
67,2020-04-29,32.1
67,2020-04-30,32.9
70,2020-04-01,29.6
70,2020-04-02,29.8
70,2020-04-03,29.0
70,2020-04-04,29.7
70,2020-04-05,30.1
70,2020-04-06,29.7
70,2020-04-07,28.4
70,2020-04-08,29.3
70,2020-04-09,28.9
70,2020-04-10,28.5
70,2020-04-11,28.1
70,2020-04-12,28.4
70,2020-04-13,28.4
70,2020-04-14,27.7
70,2020-04-15,28.2
70,2020-04-16,28.7
70,2020-04-17,27.3
70,2020-04-18,27.4
70,2020-04-19,24.9
70,2020-04-20,25.6
70,2020-04-21,26.2
70,2020-04-22,27.5
70,2020-04-23,22.2
70,2020-04-24,26.1
70,2020-04-25,23.4
70,2020-04-26,25.8
70,2020-04-27,24.9
70,2020-04-28,25.9
70,2020-04-29,25.5
70,2020-04-30,26.0
72,2020-04-01,38.0
72,2020-04-02,37.0
72,2020-04-03,34.0
72,2020-04-04,30.0
72,2020-04-05,36.8
72,2020-04-06,31.2
72,2020-04-07,33.0
72,2020-04-08,34.4
72,2020-04-09,33.0
72,2020-04-10,29.8
72,2020-04-11,38.0
72,2020-04-12,38.5
72,2020-04-13,34.9
72,2020-04-14,32.1
72,2020-04-15,38.4
72,2020-04-16,40.1
72,2020-04-17,36.6
72,2020-04-18,26.3
72,2020-04-19,23.6
72,2020-04-20,38.7
72,2020-04-21,25.1
72,2020-04-22,25.0
72,2020-04-23,22.5
72,2020-04-24,34.2
72,2020-04-25,22.5
72,2020-04-26,37.4
72,2020-04-27,33.6
72,2020-04-28,32.8
72,2020-04-29,33.3
72,2020-04-30,27.5
74,2020-04-01,26.7
74,2020-04-02,28.5
74,2020-04-03,27.2
74,2020-04-04,27.5
74,2020-04-05,27.7
74,2020-04-06,25.3
74,2020-04-09,26.4
74,2020-04-10,26.8
74,2020-04-11,29.0
74,2020-04-12,28.8
74,2020-04-13,28.4
74,2020-04-14,28.1
74,2020-04-15,29.8
74,2020-04-16,27.5
74,2020-04-17,29.3
74,2020-04-18,26.8
74,2020-04-19,26.3
74,2020-04-20,27.5
74,2020-04-21,26.0
74,2020-04-22,25.6
74,2020-04-23,24.9
74,2020-04-24,26.9
74,2020-04-25,24.5
74,2020-04-26,26.9
74,2020-04-27,27.8
74,2020-04-28,27.0
74,2020-04-29,27.1
74,2020-04-30,26.6
18,2021-04-16,25.0
18,2021-04-17,25.5
18,2021-04-18,25.8
18,2021-04-19,25.5
18,2021-04-20,25.1
18,2021-04-28,25.6
27,2021-04-20,27.9
27,2021-04-28,27.7
33,2021-04-01,24.7
33,2021-04-02,26.0
33,2021-04-03,26.6
33,2021-04-04,26.7
33,2021-04-05,24.6
33,2021-04-06,24.4
33,2021-04-07,23.8
33,2021-04-08,24.4
33,2021-04-09,25.4
33,2021-04-10,24.4
33,2021-04-11,23.9
33,2021-04-12,24.0
33,2021-04-13,25.0
33,2021-04-14,26.3
33,2021-04-15,24.9
33,2021-04-16,24.6
33,2021-04-17,25.3
33,2021-04-18,23.6
33,2021-04-19,24.2
33,2021-04-20,24.2
33,2021-04-21,24.5
33,2021-04-22,24.6
33,2021-04-23,22.6
33,2021-04-24,23.8
33,2021-04-25,23.6
33,2021-04-26,25.0
33,2021-04-27,24.9
33,2021-04-28,23.7
33,2021-04-29,23.8
33,2021-04-30,24.6
35,2021-04-28,24.9
35,2021-04-29,23.2
37,2021-04-29,25.6
40,2021-04-20,26.4
67,2021-04-16,24.9
67,2021-04-17,26.0
67,2021-04-18,26.3
67,2021-04-19,25.9
67,2021-04-20,25.7
67,2021-04-28,27.5
71,2021-04-29,21.6
77,2021-04-01,28.5
77,2021-04-02,31.5
77,2021-04-03,31.1
77,2021-04-04,32.8
77,2021-04-06,28.6
77,2021-04-07,28.6
77,2021-04-08,26.9
77,2021-04-09,30.9
77,2021-04-10,27.9
77,2021-04-12,28.4
77,2021-04-13,30.5
77,2021-04-14,30.8
77,2021-04-15,17.8
77,2021-04-23,24.2
77,2021-04-24,29.2
77,2021-04-25,27.6
78,2021-04-16,25.2
78,2021-04-17,26.2
78,2021-04-18,26.6
78,2021-04-19,23.0
78,2021-04-20,24.8
3505,2021-04-01,34.4
3505,2021-04-02,35.2
3505,2021-04-03,36.5
3505,2021-04-04,33.3
3505,2021-04-05,34.3
3505,2021-04-06,34.3
3505,2021-04-07,34.9
3505,2021-04-08,34.4
3505,2021-04-09,35.5
3505,2021-04-10,32.6
3505,2021-04-11,34.4
3505,2021-04-12,33.8
3505,2021-04-13,33.9
3505,2021-04-14,36.8
3505,2021-04-15,34.6
3505,2021-04-16,32.6
3505,2021-04-17,36.1
3505,2021-04-18,33.2
3505,2021-04-19,33.3
3505,2021-04-20,33.8
3505,2021-04-21,34.2
3505,2021-04-22,31.6
3505,2021-04-23,28.6
3505,2021-04-24,34.1
3505,2021-04-25,30.8
3505,2021-04-26,35.0
3505,2021-04-27,33.0
3505,2021-04-28,33.5
3505,2021-04-29,31.0
3505,2021-04-30,33.5
3522,2021-04-28,28.3
3522,2021-04-29,26.3
3522,2021-04-30,29.4
18,2022-04-01,26.4
18,2022-04-21,24.6
18,2022-04-22,30.4
18,2022-04-23,34.0
18,2022-04-24,33.2
18,2022-04-25,31.8
18,2022-04-26,33.7
18,2022-04-27,25.3
18,2022-04-28,28.7
18,2022-04-29,34.4
18,2022-04-30,32.2
33,2022-04-01,23.2
33,2022-04-02,23.6
33,2022-04-03,24.2
33,2022-04-04,19.7
35,2022-04-01,25.8
35,2022-04-02,24.8
35,2022-04-03,28.6
35,2022-04-04,32.1
35,2022-04-05,32.5
35,2022-04-06,31.8
35,2022-04-07,32.1
35,2022-04-08,32.1
35,2022-04-09,32.0
35,2022-04-10,31.2
35,2022-04-11,29.5
35,2022-04-12,34.1
35,2022-04-13,31.7
35,2022-04-14,30.7
35,2022-04-15,30.6
35,2022-04-16,28.2
35,2022-04-17,31.6
35,2022-04-18,29.6
35,2022-04-19,29.8
35,2022-04-20,27.8
35,2022-04-21,27.7
35,2022-04-22,28.9
35,2022-04-23,27.7
35,2022-04-24,26.8
35,2022-04-25,29.4
35,2022-04-26,30.9
35,2022-04-27,28.3
35,2022-04-28,23.3
35,2022-04-29,27.8
35,2022-04-30,28.6
37,2022-04-01,27.0
37,2022-04-02,27.0
37,2022-04-03,29.0
37,2022-04-04,26.0
37,2022-04-05,30.0
37,2022-04-06,29.0
37,2022-04-07,29.0
37,2022-04-08,30.0
37,2022-04-09,30.0
37,2022-04-10,25.0
37,2022-04-21,26.0
37,2022-04-22,26.0
37,2022-04-23,26.0
37,2022-04-24,27.0
37,2022-04-25,28.0
37,2022-04-26,28.0
37,2022-04-27,26.0
37,2022-04-28,24.0
37,2022-04-29,28.0
37,2022-04-30,24.0
7,2023-04-01,27.0
7,2023-04-02,27.0
7,2023-04-03,27.0
7,2023-04-04,65535.0
7,2023-04-05,27.0
7,2023-04-06,26.0
7,2023-04-07,26.0
7,2023-04-08,25.0
7,2023-04-09,25.0
7,2023-04-10,25.0
7,2023-04-11,26.0
7,2023-04-12,26.0
7,2023-04-13,25.0
7,2023-04-14,24.0
7,2023-04-15,24.0
7,2023-04-16,25.0
7,2023-04-17,25.0
7,2023-04-18,26.0
7,2023-04-19,27.0
7,2023-04-20,27.0
7,2023-04-21,27.0
